,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,274670,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
1,0,5562606,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
2,0,24980,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
3,0,128880,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
4,0,45317514,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
5,0,405940,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
6,0,2095672,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
7,0,608988618,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
8,1,281282,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
9,1,5629794,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
10,1,26930,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
11,1,125864,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
12,1,45654740,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
13,1,387432,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
14,1,2067282,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
15,1,604106168,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
16,2,273182,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
17,2,5536858,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
18,2,25450,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
19,2,125014,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
20,2,45476468,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
21,2,407368,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
22,2,1981120,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
23,2,603782900,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
24,3,277208,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
25,3,5917626,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
26,3,24932,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
27,3,128464,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
28,3,45912190,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
29,3,425840,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
30,3,2021006,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
31,3,605345266,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
32,4,226850,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
33,4,5582622,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
34,4,25462,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
35,4,124152,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
36,4,45571706,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
37,4,403336,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
38,4,1997670,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
39,4,604404184,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
40,5,272532,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
41,5,5677222,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
42,5,25708,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
43,5,256778,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
44,5,45229190,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
45,5,421916,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
46,5,2123686,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
47,5,605429190,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
48,6,279738,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
49,6,5535888,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
50,6,26512,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
51,6,123694,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
52,6,45242474,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
53,6,409466,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
54,6,1989210,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
55,6,605306752,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
56,7,276136,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
57,7,5561448,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
58,7,24620,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
59,7,124446,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
60,7,45357848,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
61,7,418366,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
62,7,2036890,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
63,7,605025644,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
64,8,271508,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
65,8,5576164,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
66,8,24430,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
67,8,125482,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
68,8,45294494,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
69,8,404728,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
70,8,1990260,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
71,8,605168504,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
72,9,309698,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
73,9,5657976,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
74,9,25264,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
75,9,125796,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
76,9,45658616,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
77,9,414192,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
78,9,2019832,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
79,9,603688662,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
80,0,4441974,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
81,0,3515686448,detection,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
82,0,3237236,transform,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
83,0,30192056,query,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
84,0,7293647660,time_index,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
85,0,31890858,current_hash,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
86,0,33112170,hasher,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
87,0,3329406930,init,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
88,1,4200170,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
89,1,3516496470,detection,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
90,1,3288742,transform,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
91,1,30682370,query,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
92,1,7291687204,time_index,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
93,1,31553956,current_hash,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
94,1,27544744,hasher,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
95,1,3332623756,init,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
96,2,4383646,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
97,2,3516705650,detection,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
98,2,3318728,transform,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
99,2,23258332,query,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
100,2,7303093826,time_index,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
101,2,33221914,current_hash,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
102,2,20042434,hasher,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
103,2,3331208046,init,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
104,3,4263980,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
