,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,594712,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,0,18723856,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,60846589002,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,0,33690598,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,0,260308482,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,0,109648997754,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,0,9965152,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,0,677824,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,0,5715816,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,0,549022284,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,1,624566,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
11,1,16497572,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
12,1,77216589292,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
13,1,34056318,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
14,1,254242770,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
15,1,110545958668,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
16,1,10097064,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
17,1,806174,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
18,1,4476192,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
19,1,551759944,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
20,2,601324,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
21,2,17240792,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
22,2,64234865682,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
23,2,33919274,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
24,2,253716878,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
25,2,109534933948,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
26,2,10067124,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
27,2,651594,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
28,2,4710754,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
29,2,556903648,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
30,3,564746,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
