,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,428640,updates,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,0,16935445538,detection,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,274081278,transform,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,0,2265824524,query,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,0,963623492434,time_index,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,0,2966862,current_hash,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,0,4685080,hasher,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,0,34268184133672,init,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,0,146332,updates,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
9,0,9452211108,detection,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
10,0,177461042,transform,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
11,0,1382071940,query,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
12,0,506735766578,time_index,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
13,0,2151320,current_hash,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
14,0,3212656,hasher,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
15,0,13982700809364,init,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
16,1,159130,updates,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
17,1,9417952352,detection,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
18,1,173378824,transform,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
19,1,1354246808,query,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
20,1,503819837408,time_index,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
21,1,2032534,current_hash,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
22,1,3189962,hasher,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
23,1,13988056502074,init,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
24,2,154012,updates,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
25,2,9333527488,detection,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
26,2,174328958,transform,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
27,2,1365122268,query,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
28,2,506375092790,time_index,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
29,2,2083010,current_hash,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
30,2,3222722,hasher,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
31,2,13984230108098,init,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
32,3,209412,updates,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
33,3,9377878250,detection,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
34,3,177170986,transform,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
35,3,1367507252,query,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
36,3,506487536326,time_index,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
37,3,2058542,current_hash,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
38,3,3300382,hasher,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
39,3,13997611515520,init,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
40,4,150590,updates,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
41,4,9830398752,detection,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
42,4,176539796,transform,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
43,4,1365914274,query,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
44,4,509359496130,time_index,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
45,4,2125302,current_hash,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
46,4,3244422,hasher,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
47,4,13972839574314,init,11703180,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
