,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,2955944250,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
1,1,2939158648,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
2,2,2935632230,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
3,3,3014862466,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
4,4,3079661148,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
5,5,2939749746,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
6,6,2954558900,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
7,7,2932079180,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
8,8,2935019736,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
9,9,2941871944,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
10,0,422763322636,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
11,1,423606805164,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
12,2,423620051894,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
13,3,423157187152,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
14,4,423704252420,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
15,5,423666778680,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
16,6,423830973946,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
17,7,423022653744,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
18,8,423556826010,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
19,9,423532630770,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
20,0,3931024,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
21,1,4385726,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
22,2,4210962,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
23,3,4776026,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
24,4,4005886,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
25,5,4002290,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
26,6,4072840,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
27,7,4689726,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
28,8,4089254,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
29,9,4375168,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
30,0,8784671950,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
31,1,8811203790,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
32,2,8747543510,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
33,3,8730051676,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
34,4,8750405398,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
35,5,8743155224,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
36,6,8739208290,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
37,7,8740267854,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
38,8,8773175116,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
39,9,8810749330,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
40,0,198776,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
41,1,207936,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
42,2,622730,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
43,3,581072,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
44,4,283072,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
45,5,640666,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
46,6,602332,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
47,7,194872,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
48,8,581062,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
49,9,205500,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
50,0,4510974,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
51,1,4500290,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
52,2,5672526,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
53,3,4660738,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
54,4,5364178,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
55,5,4768134,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
56,6,4515898,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
57,7,5269024,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
58,8,4789706,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
59,9,4800748,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
60,0,1011927904,0,reed-solomon,5005,107,1.3,1.4,1,3,1,1,2.0
61,1,1006773492,0,reed-solomon,5005,107,1.3,1.4,1,3,1,1,2.0
62,2,1007582962,0,reed-solomon,5005,107,1.3,1.4,1,3,1,1,2.0
63,3,1013117062,0,reed-solomon,5005,107,1.3,1.4,1,3,1,1,2.0
64,4,1046331392,0,reed-solomon,5005,107,1.3,1.4,1,3,1,1,2.0
