,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,360673526,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
1,1,362213100,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
2,2,361741968,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
3,3,362345096,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
4,4,363048904,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
5,5,362990194,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
6,6,363832626,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
7,7,365189828,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
8,8,364744588,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
9,9,362407736,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
10,0,12856659726,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
11,1,12838556022,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
12,2,12804321632,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
13,3,12805884356,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
14,4,12972647158,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
15,5,13008234160,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
16,6,12857427008,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
17,7,12829863714,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
18,8,12786778006,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
19,9,12813817046,0,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
20,0,274166629940,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
21,1,274109588978,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
22,2,274002134390,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
23,3,273885011324,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
24,4,274211377762,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
25,5,275046110438,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
26,6,273731845198,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
27,7,273830883036,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
28,8,274553734692,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
29,9,274062228018,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
30,0,14216923880,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
31,1,14130782624,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
32,2,14562934932,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
33,3,14284901434,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
34,4,14302470120,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
35,5,14159541568,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
36,6,14143891178,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
37,7,14262309484,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
38,8,14511791978,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
39,9,14186287848,0,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
40,0,8969506598,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
41,1,8963489176,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
42,2,8945525054,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
43,3,8940165090,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
44,4,8932034344,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
45,5,8949538184,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
46,6,8987818790,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
47,7,9247416034,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
48,8,9527063570,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
49,9,8991604682,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
50,0,234000953810,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
51,1,233727830482,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
52,2,233628716870,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
53,3,233868794126,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
54,4,233246950494,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
55,5,234085520542,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
56,6,233334597462,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
57,7,233652267202,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
58,8,233610755488,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
59,9,233560505414,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
60,0,7209416042,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
61,1,7198092314,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
62,2,7220454878,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
63,3,7164562928,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
64,4,7176823428,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
65,5,7259598518,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
66,6,7345668330,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
67,7,7493378976,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
68,8,7204414458,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
69,9,7183625906,0,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
70,0,6023952030,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
71,1,5991837704,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
72,2,6001162768,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
73,3,6002144520,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
74,4,6144767014,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
75,5,6013435652,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
76,6,6000742940,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
77,7,5991250338,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
78,8,6014385780,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
79,9,6044476514,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
80,0,423738025528,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
81,1,424687029676,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
82,2,423899001406,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
83,3,424740576474,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
84,4,422981553452,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
85,5,424670399502,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
86,6,423742254778,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
87,7,425230148694,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
88,8,423312916084,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
89,9,424765334566,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
90,0,646120,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
91,1,2064492,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
92,2,1810632,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
93,3,638882,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
94,4,625168,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
95,5,700428,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
96,6,1564476,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
97,7,2014998,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
98,8,710870,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
99,9,2002450,0,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
100,0,440672099468,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
101,1,440916779112,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
102,2,441202722948,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
103,3,441145036880,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
104,4,441457985432,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
105,5,440782884216,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
106,6,440708975506,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
107,7,441067106752,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
108,8,441343408054,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
109,9,440864265388,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
110,0,18093438770,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
111,1,18059027616,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
112,2,18095652554,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
113,3,18079483830,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
114,4,18113374678,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
115,5,18124318468,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
116,6,18068206358,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
117,7,18069424210,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
118,8,18106231780,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
119,9,18113183018,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
120,0,3957390812,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
121,1,3961761796,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
122,2,4084464386,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
123,3,4189396242,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
124,4,3944782848,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
125,5,3940394452,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
126,6,3948246224,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
127,7,3947041066,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
128,8,3931666612,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
129,9,3939991032,0,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
130,0,2861838,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
131,1,2991668,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
132,2,2957444,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
133,3,2947902,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
134,4,3016048,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
135,5,3733170,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
136,6,3703706,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
137,7,2985582,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
138,8,3775840,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
139,9,3212180,0,naive,10,203,1.3,1.4,10,3,100,1,2.0
140,0,202245322,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
141,1,201213238,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
142,2,200973630,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
143,3,201005730,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
144,4,200405298,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
145,5,200869724,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
146,6,201407574,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
147,7,201792914,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
148,8,200491262,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
149,9,199949916,0,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
150,0,44638430528,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
151,1,44792269292,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
152,2,44323714016,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
153,3,44250236040,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
154,4,44338084638,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
155,5,44086212732,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
156,6,44513443108,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
157,7,43991076912,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
158,8,43933437568,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
159,9,44034759396,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
160,0,24439510558,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
161,1,24439266672,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
162,2,24488671370,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
163,3,24494471266,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
164,4,24451941398,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
165,5,24456129882,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
166,6,24441518696,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
167,7,24420805366,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
168,8,24441792150,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
169,9,24352035208,0,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
170,0,1773775002,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
171,1,1761018474,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
172,2,1754389152,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
173,3,1854808174,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
174,4,1781655650,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
175,5,1756855680,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
176,6,1752502396,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
177,7,1761540460,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
178,8,1754016168,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
179,9,1762284684,0,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
180,0,395455196042,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
181,1,395334419480,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
182,2,395693410314,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
183,3,396226888964,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
184,4,395639932972,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
185,5,395719520232,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
186,6,396145071606,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
187,7,395669855496,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
188,8,395402123114,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
189,9,395364674852,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
190,0,140607540,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
191,1,141030938,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
192,2,141256312,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
193,3,140509542,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
194,4,142983234,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
195,5,141100906,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
196,6,140338170,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
197,7,140221460,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
198,8,140909146,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
199,9,140916850,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
200,0,1190019152,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
201,1,1168771640,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
202,2,1169741912,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
203,3,1163795842,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
204,4,1158142690,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
205,5,1156305646,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
206,6,1161020070,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
207,7,1154111352,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
208,8,1157695376,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
209,9,1151419972,0,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
210,0,5721304,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
211,1,5790814,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
212,2,6055696,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
213,3,7220488,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
214,4,6265014,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
215,5,7306878,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
216,6,6026802,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
217,7,7370276,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
218,8,5758384,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
219,9,5936464,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
220,0,1128504192,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
221,1,1150242506,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
222,2,1170911506,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
223,3,1198789314,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
224,4,1153059654,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
225,5,1132538864,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
226,6,1147956890,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
227,7,1176732300,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
228,8,1135157434,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
229,9,1129899192,0,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
230,0,10538738778,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
231,1,10488646212,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
232,2,10563861488,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
233,3,10495418600,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
234,4,10489411452,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
235,5,10487839426,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
236,6,10490014890,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
237,7,10591300420,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
238,8,10483170952,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
239,9,10654120520,0,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
240,0,4694471008,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
241,1,4674192550,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
242,2,4706647124,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
243,3,4683936238,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
244,4,4678965368,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
245,5,4670144810,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
246,6,4666608784,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
247,7,4671814736,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
248,8,4683669736,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
249,9,4792151780,0,random binning,5005,203,1.3,1.4,2,3,4,1,2.0
250,0,514608674976,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
251,1,515445731074,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
252,2,515483529484,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
253,3,518119947422,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
254,4,517475245124,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
255,5,516974172408,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
256,6,514603119160,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
257,7,513230434574,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
258,8,513011213102,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
259,9,512365442918,0,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
260,0,1346198872,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
261,1,1343930056,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
262,2,1343934342,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
263,3,1343964492,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
264,4,1355983872,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
265,5,1343037750,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
266,6,1351577152,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
267,7,1343491160,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
268,8,1346524984,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
269,9,1350013274,0,random binning,5005,10,1.3,1.4,10,3,100,1,2.0
270,0,2256592,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
271,1,2967142,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
272,2,3122626,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
273,3,2187736,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
274,4,2205190,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
275,5,2750438,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
276,6,3799202,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
277,7,2218628,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
278,8,2410386,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
279,9,2211732,0,random binning,10,107,1.3,1.4,5,3,25,1,2.0
280,0,847381194,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
281,1,846911168,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
282,2,846109064,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
283,3,853225266,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
284,4,848286830,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
285,5,847298286,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
286,6,849047642,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
287,7,846517036,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
288,8,849300428,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
289,9,848309980,0,random binning,7502,10,1.3,1.4,5,3,25,1,2.0
290,0,35133074162,0,naive,10000,10,1.3,1.4,5,3,25,1,2.0
291,1,34922896530,0,naive,10000,10,1.3,1.4,5,3,25,1,2.0
292,2,35072575030,0,naive,10000,10,1.3,1.4,5,3,25,1,2.0
293,3,34978022658,0,naive,10000,10,1.3,1.4,5,3,25,1,2.0
