,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,195695260296,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,1,184534663660,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,2,221723616914,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,3,186350173288,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,4,201579209464,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,5,186229408486,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,6,191565715486,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,7,189676372612,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,8,184878547848,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,9,212568784010,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,0,8967995884,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
11,1,9027413368,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
12,2,8749929744,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
13,3,8709079756,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
14,4,8624810846,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
15,5,8870360068,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
16,6,8594645504,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
17,7,8756609162,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
18,8,8581363076,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
19,9,8703354968,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
20,0,9850690444,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
21,1,10362329686,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
22,2,9597331032,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
23,3,9905824402,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
24,4,9069852246,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
25,5,10241628926,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
26,6,9818137904,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
27,7,9961937016,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
