,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,24061600161622,1,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,1,24149513995406,1,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,9414044087474,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
3,1,9406651301918,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
4,2,9413732443554,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
5,3,9406354591660,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
6,4,9405915892060,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
7,5,9401581634444,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
8,6,9406964745734,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
9,7,9452468313842,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
10,8,9509704881452,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
