,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,23678960478828,0,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,1,23675112819034,0,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,9336443591876,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
3,1,9320994843292,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
4,2,9322901569472,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
5,3,9339165149642,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
6,4,9341753395846,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
7,5,9340444336336,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
8,6,9338321500386,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
9,7,9340703525066,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
10,8,9340452697516,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
