,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,420142,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
1,0,3452300,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
2,0,574264,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
3,0,401392,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
4,0,47975776,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
5,0,6827218,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
6,0,15371114,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
7,0,311764262,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
8,1,396494,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
9,1,3387906,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
10,1,574124,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
11,1,380672,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
12,1,48639102,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
13,1,7155682,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
14,1,15378624,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
15,1,316255270,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
16,2,450006,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
17,2,3391770,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
18,2,581652,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
19,2,391652,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
20,2,49861734,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
21,2,7031286,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
22,2,15608434,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
23,2,318969864,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
24,3,397120,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
25,3,3310378,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
26,3,579976,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
27,3,377148,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
28,3,48269656,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
29,3,6942346,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
30,3,15317848,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
31,3,320415726,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
32,4,397406,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
33,4,3310024,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
34,4,563516,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
35,4,368446,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
36,4,47846954,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
37,4,6864878,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
38,4,15298496,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
39,4,313683542,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
40,5,396294,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
41,5,3303832,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
42,5,567586,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
43,5,370368,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
