,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,703884,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,0,65172650,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,66590367434,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,0,650989008,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,0,528370128,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,0,104379612680,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,0,8601762,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,0,8967128,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,0,31778524,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,0,116072802,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,1,733980,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
11,1,64970498,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
12,1,85486816358,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
13,1,667941518,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
14,1,531463138,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
15,1,104175001072,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
16,1,8756102,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
17,1,11649286,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
18,1,31777580,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
19,1,116654276,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
20,2,735784,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
21,2,65112994,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
22,2,80477660178,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
23,2,661406482,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
24,2,531874342,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
25,2,104123489564,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
26,2,8657916,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
27,2,11288470,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
28,2,31260094,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
29,2,117071398,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
30,3,577800,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
31,3,65117556,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
