,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,192426,updates,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,0,18625942876,detection,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,10630188522,transform,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,0,6139679136,query,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,0,970475661516,time_index,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,0,197169696,current_hash,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,0,190161716,hasher,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,0,22517044982180,init,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,1,120226,updates,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,1,18433483148,detection,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,1,11172452468,transform,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
11,1,6025469798,query,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
12,1,973983271212,time_index,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
13,1,199572610,current_hash,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
14,1,191850610,hasher,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
15,1,22510965284664,init,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
16,0,14314084,updates,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
17,0,143024434896,detection,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
18,0,11084055816,transform,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
19,0,9564559104,query,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
20,0,992888288242,time_index,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
21,0,1559921058,current_hash,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
22,0,5000363852,hasher,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
23,0,1094792,init,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
24,1,14965472,updates,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
25,1,144222950488,detection,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
26,1,11537134480,transform,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
27,1,10112675482,query,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
28,1,1002606753748,time_index,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
29,1,1581233250,current_hash,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
30,1,4881424214,hasher,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
31,1,8296,init,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
32,2,16418140,updates,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
33,2,143343854072,detection,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
34,2,11698331334,transform,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
35,2,10362681494,query,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
36,2,1008543973526,time_index,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
37,2,1600895998,current_hash,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
38,2,4831741364,hasher,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
39,2,9304,init,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
40,3,14542536,updates,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
41,3,144797014672,detection,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
42,3,11431994210,transform,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
43,3,9977543008,query,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
44,3,1001308561474,time_index,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
45,3,1602425012,current_hash,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
46,3,5069838452,hasher,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
47,3,11868,init,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
48,4,18190060,updates,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
49,4,144336078880,detection,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
50,4,11319564696,transform,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
51,4,9808356452,query,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
52,4,1001897366822,time_index,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
53,4,1597785882,current_hash,15321532,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
