,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,14942718,updates,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
1,0,84763393818,robust_retrieval,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
2,0,2907668330952,detection,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
3,0,12594598224,transform,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
4,0,13068514956,query,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
5,0,1367976357356,time_index,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
6,0,39894494,robust_init,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
7,0,503885206,current_hash,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
8,0,2954346800,hasher,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
9,0,21108,init,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
10,1,14907320,updates,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
11,1,84704837288,robust_retrieval,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
12,1,3210333349228,detection,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
13,1,13300637862,transform,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
14,1,14638871602,query,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
15,1,1372501128134,time_index,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
16,1,40008674,robust_init,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
17,1,540657262,current_hash,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
18,1,2931156478,hasher,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
19,1,17628,init,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
20,2,15567376,updates,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
21,2,85635594810,robust_retrieval,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
22,2,3005441197780,detection,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
23,2,12752335376,transform,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
24,2,13666117178,query,22922292,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
