,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,409041614,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
1,1,410008876,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
2,2,410059490,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
3,3,409014744,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
4,4,410543764,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
5,5,408624818,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
6,6,409657222,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
7,7,419986856,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
8,8,409561756,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
9,9,410602506,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
10,0,13133928846,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
11,1,13117112962,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
12,2,13103837690,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
13,3,13069767300,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
14,4,13092461576,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
15,5,13078875822,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
16,6,13068604700,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
17,7,13067725904,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
18,8,13094705238,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
19,9,13082159218,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
20,0,167710813848,1,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
21,1,167822205474,1,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
22,2,167637845294,1,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
23,3,167484708224,1,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
24,4,167192475722,1,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
25,5,166386168514,1,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
