,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,214868568156,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,1,197580689722,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,2,183318808766,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,3,189410182506,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,4,183017773522,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,5,184542726276,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,6,171597603204,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,7,218441764138,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,8,194259996406,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,9,188964014468,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,0,11112184434,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
11,1,11235001110,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
12,2,10913044618,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
13,3,11031194886,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
14,4,11127801776,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
15,5,11022882666,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
16,6,10980736586,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
17,7,11162678384,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
18,8,11014441692,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
19,9,11033711634,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
20,0,11096605970,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
21,1,10521659886,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
22,2,10445727586,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
23,3,10667352268,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
24,4,10440201638,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
25,5,11122923738,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
26,6,10240418442,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
27,7,11279503116,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
28,8,11276159466,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
29,9,10345063396,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
30,0,31145665644,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
31,1,30363898674,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
32,2,30657175252,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
33,3,31347311226,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
