,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,24815867256490,0,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,1,24726921990808,0,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,1155556592226,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
3,1,1157772615712,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
4,2,1157308590938,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
5,3,1158527033820,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
6,4,1151635143908,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
7,5,1158017423722,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
8,6,1156194631656,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
9,7,1156289561004,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
10,8,1157859869920,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
11,0,9930914407246,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
12,1,9931505673000,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
13,2,9924453390924,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
14,3,9924698373294,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
15,4,9929267387988,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
16,5,9928011724276,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
17,6,9931158922680,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
18,7,9921716981330,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
19,0,730174139246,1,naive,7502,300,1.3,1.4,5,3,25,1,2.0
20,1,729433856754,1,naive,7502,300,1.3,1.4,5,3,25,1,2.0
21,2,727898010684,1,naive,7502,300,1.3,1.4,5,3,25,1,2.0
22,3,730091815314,1,naive,7502,300,1.3,1.4,5,3,25,1,2.0
23,4,731161198562,1,naive,7502,300,1.3,1.4,5,3,25,1,2.0
24,0,731773277078,1,naive,7502,300,1.3,1.4,2,3,4,1,2.0
25,1,732398410896,1,naive,7502,300,1.3,1.4,2,3,4,1,2.0
26,2,734654378886,1,naive,7502,300,1.3,1.4,2,3,4,1,2.0
27,0,734570346732,1,naive,7502,300,1.3,1.4,7502,3,56280004,1,2.0
28,1,735751240802,1,naive,7502,300,1.3,1.4,7502,3,56280004,1,2.0
29,2,735387175564,1,naive,7502,300,1.3,1.4,7502,3,56280004,1,2.0
30,3,737872548284,1,naive,7502,300,1.3,1.4,7502,3,56280004,1,2.0
31,0,727958787942,1,naive,7502,300,1.3,1.4,10,3,100,1,2.0
32,1,731161518562,1,naive,7502,300,1.3,1.4,10,3,100,1,2.0
33,2,731457447298,1,naive,7502,300,1.3,1.4,10,3,100,1,2.0
34,3,731663391862,1,naive,7502,300,1.3,1.4,10,3,100,1,2.0
35,0,1432483033796,0,random binning,7502,300,1.3,1.4,7502,3,56280004,1,2.0
36,0,727905145428,1,naive,7502,300,1.3,1.4,1,3,1,1,2.0
37,1,725866668510,1,naive,7502,300,1.3,1.4,1,3,1,1,2.0
38,2,726738137200,1,naive,7502,300,1.3,1.4,1,3,1,1,2.0
39,3,726961391554,1,naive,7502,300,1.3,1.4,1,3,1,1,2.0
