,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,4702042654442,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
1,1,4553707288238,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
2,2,4743093414140,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
3,3,4455574727314,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
4,4,4564282064264,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
5,5,4615637676726,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
6,0,29267136951412,0,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,0,4330968612932,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
8,1,4228420910110,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
9,2,4032642208836,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
10,3,4327176547020,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
11,4,4384960354872,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
12,5,4336880246464,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
13,0,11748143365232,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
14,1,11771571706170,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
15,2,12050919971856,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
16,3,11858208313644,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
17,4,12044859793714,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
18,5,11767758563784,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
