,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,491460,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
1,0,6325056,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
2,0,731018,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
3,0,114719414,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
4,0,344300904,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
5,0,5914750,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
6,0,4143216,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
7,0,357877668,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
8,1,437674,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
9,1,6399540,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
10,1,734316,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
11,1,114944276,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
12,1,345230914,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
13,1,5939456,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
14,1,4185002,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
15,1,362759558,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
16,2,464544,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
17,2,6275286,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
18,2,740656,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
19,2,114787006,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
20,2,343985006,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
21,2,5933386,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
22,2,4196818,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
23,2,360191080,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
24,3,532914,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
25,3,7197810,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
26,3,793796,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
27,3,116797518,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
