,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,1095756,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,0,71140854,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,85752567562,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,0,797434360,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,0,235366362750,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,0,729672901232,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,0,8936158,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,0,12111520,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,0,7794844,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,0,118524690,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,1,1289370,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
11,1,74680788,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
12,1,89413060966,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
13,1,784140924,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
14,1,234828046000,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
15,1,728200479662,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
16,1,9074658,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
17,1,12161458,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
18,1,7832572,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
19,1,115752558,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
20,2,1155142,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
21,2,72325474,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
22,2,73606154300,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
