,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,18210376,updates,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
1,0,4217794004,detection,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
2,0,5700204524,transform,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
3,0,1090386994948,query,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
4,0,6323878054288,time_index,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
5,0,798681946,current_hash,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
6,0,62506734,hasher,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
7,0,366635132,init,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
8,1,18233966,updates,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
9,1,3947249486,detection,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
10,1,5777446054,transform,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
11,1,1091003363792,query,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
12,1,6329198182246,time_index,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
13,1,806425456,current_hash,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
14,1,63165646,hasher,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
15,1,203294604,init,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
16,2,18406470,updates,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
17,2,4262471776,detection,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
18,2,5713859778,transform,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
19,2,1090895203236,query,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
20,2,6327324037724,time_index,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
21,2,794922356,current_hash,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
22,2,60575582,hasher,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
23,2,119739876,init,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
24,3,18185026,updates,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
25,3,4153801370,detection,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
26,3,5704106726,transform,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
27,3,1090799277148,query,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
28,3,6324785629714,time_index,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
29,3,805030142,current_hash,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
30,3,63954900,hasher,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
31,3,120484786,init,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
32,4,18100234,updates,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
33,4,3894176696,detection,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
34,4,5609413462,transform,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
35,4,1090714685728,query,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
36,4,6324893913122,time_index,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
37,4,802685968,current_hash,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
38,4,62669572,hasher,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
39,4,220446754,init,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
40,5,18405912,updates,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
41,5,4201272354,detection,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
42,5,5430676812,transform,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
43,5,1090976391500,query,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
44,5,6326080293468,time_index,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
45,5,808608660,current_hash,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
46,5,63891402,hasher,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
47,5,297009946,init,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
48,6,18468604,updates,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
49,6,4349016704,detection,7640764,naive,10000,107,1.3,1.4,2,3,4,1,2.0
