,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,43159480,updates,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
1,0,674338446,robust_retrieval,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
2,0,372522279728,detection,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
3,0,9154849656,transform,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
4,0,1673287238042,query,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
5,0,9709663328574,time_index,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
6,0,24328666,robust_init,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
7,0,375759066,current_hash,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
8,0,19623106,hasher,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
9,0,135454520,init,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
10,1,42497606,updates,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
11,1,656859514,robust_retrieval,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
12,1,404087357418,detection,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
13,1,9221656076,transform,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
14,1,1673387037510,query,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
15,1,9708237989474,time_index,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
16,1,25955968,robust_init,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
17,1,410108384,current_hash,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
18,1,19632912,hasher,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
19,1,66863512,init,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
20,2,17548140,updates,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
21,2,676640710,robust_retrieval,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
22,2,393526197560,detection,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
23,2,9090471060,transform,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
24,2,1673398722670,query,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
25,2,9703062754848,time_index,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
26,2,26371666,robust_init,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
27,2,392261168,current_hash,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
28,2,19965976,hasher,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
29,2,66888062,init,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
30,3,17877112,updates,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
31,3,679514964,robust_retrieval,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
32,3,394919324572,detection,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
33,3,8929679976,transform,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
34,3,1671993162302,query,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
35,3,9703903844326,time_index,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
36,3,26617072,robust_init,17196876,naive,7502,107,1.3,1.4,10,3,100,1,2.0
