,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,31124107242,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
1,1,31145372708,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
2,2,31362644538,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
3,3,31115299160,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
4,4,31151095218,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
5,5,31169680060,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
6,6,31272220188,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
7,7,31120211186,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
8,8,31098091234,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
9,9,31117712444,1,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
10,0,6759637588246,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
11,1,6760258846478,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
12,2,6761360387356,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
13,3,6758676955714,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
14,4,6757371180824,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
15,5,6758166131898,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
16,6,6759097393492,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
17,7,6758425445928,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
18,8,6758814975568,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
19,9,6759740193784,1,naive,10000,107,1.3,1.4,5,3,25,1,2.0
20,0,42599538,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
21,1,42378380,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
22,2,42566982,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
23,3,42463692,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
24,4,41909504,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
25,5,41301888,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
26,6,42818276,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
27,7,42082336,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
28,8,42963796,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
29,9,42094534,1,naive,10,300,1.3,1.4,5,3,25,1,2.0
30,0,80931479546,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
31,1,79997108120,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
32,2,79979760810,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
33,3,80058265998,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
34,4,79989137126,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
35,5,80119495896,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
36,6,80285206256,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
37,7,79958885032,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
38,8,80306793952,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
39,9,79932917960,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
40,0,945972,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
41,1,2075624,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
