,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,63153472272,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
1,1,63242570050,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
2,2,63242581638,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
3,3,63297894760,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
4,4,63187269228,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
5,5,62988181222,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
6,6,63189365742,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
7,7,63232875864,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
8,8,63189945980,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
9,9,62962441562,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
10,0,5854653274948,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
11,1,5857044495884,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
12,2,5857856625200,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
13,3,5938340789072,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
14,4,5828682720106,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
15,5,5836361249260,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
16,6,5861650150666,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
17,7,5826511025100,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
18,8,5862934641628,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
19,9,5864473257058,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
20,0,421350135314,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
21,1,420669596404,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
22,2,420544142554,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
23,3,421117593570,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
24,4,421065360868,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
25,5,420258336928,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
26,6,420836126686,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
27,7,419799840448,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
28,8,420967416226,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
29,9,421144320750,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
30,0,201734349634,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
31,1,201167665244,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
32,2,201644927118,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
33,3,201464779802,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
34,4,201939401088,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
35,5,201738677054,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
36,6,201588313788,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
37,7,201648191666,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
38,8,201443158084,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
39,9,201858042938,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
40,0,635704070046,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
41,1,636410063680,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
42,2,634304066298,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
43,3,635287071274,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
44,4,634084097546,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
45,5,635541879692,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
46,6,634557725722,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
47,7,636022456874,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
48,8,634681731330,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
49,9,635090382100,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
50,0,800524208428,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
51,1,798919339700,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
52,2,800056553678,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
53,3,799810209462,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
54,4,801205063824,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
55,5,804108495466,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
56,6,797494793598,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
57,7,797708092910,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
58,8,799992085322,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
59,9,798963673202,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
60,0,60538576900,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
61,1,60594263518,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
62,2,60169025432,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
63,3,60615897854,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
64,4,60663475200,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
65,5,60872647704,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
66,6,61446295504,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
67,7,60333240758,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
68,8,61973979918,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
69,9,60467147290,0,naive,2508,10,1.3,1.4,2508,3,6290064,1,2.0
70,0,367142322,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
71,1,369450640,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
72,2,365659732,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
73,3,370478066,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
74,4,369865858,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
75,5,366957322,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
76,6,370225904,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
77,7,371661130,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
78,8,371444368,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
79,9,370406216,0,reed-solomon,10,203,1.3,1.4,5,3,25,1,2.0
