,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,755447342,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
1,1,765838822,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
2,2,755225708,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
3,3,757768418,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
4,4,756819688,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
5,5,756146558,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
6,6,757153254,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
7,7,755874592,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
8,8,755331356,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
9,9,756837428,0,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
10,0,146573154208,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
11,1,146604325106,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
12,2,146621394290,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
13,3,146623923396,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
14,4,146620632650,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
15,5,146614550990,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
16,6,146617788574,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
17,7,146615091398,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
18,8,146639598066,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
19,9,146687081074,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
20,0,1586985537524,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
21,1,1570759502278,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
22,2,1568702034508,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
23,3,1567235998272,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
24,4,1569366852648,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
25,5,1567376299918,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
26,6,1567301834154,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
27,7,1569514606918,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
28,8,1567595407598,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
29,9,1565706990658,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
30,0,160632220624,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
31,1,161112122884,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
32,2,160347733486,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
33,3,160372239040,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
34,4,160426367826,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
35,5,160429661240,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
36,6,160809656262,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
37,7,160010765366,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
38,8,160791399800,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
39,9,160742231430,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
40,0,105110575200,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
41,1,105092754076,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
42,2,105031431176,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
43,3,104937968656,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
44,4,104975786410,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
45,5,104987714120,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
46,6,104931801634,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
47,7,104977845672,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
48,8,105078281794,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
49,9,104886518192,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
50,0,3915569253654,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
51,1,3922087269504,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
52,2,3922885782748,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
53,3,3921056102310,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
54,4,3921645390632,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
55,5,3921943160400,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
56,6,3922582050694,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
57,7,3923358332944,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
58,8,3923033299258,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
59,9,3919509331966,1,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
60,0,92706470720,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
61,1,92681770162,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
62,2,93300992174,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
63,3,92597059246,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
64,4,92478943636,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
65,5,92416345486,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
66,6,92508539326,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
67,7,92486868330,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
68,8,92552517072,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
69,9,92531564244,1,reed-solomon,2508,203,1.3,1.4,10,3,100,1,2.0
70,0,67428091156,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
71,1,67557376698,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
72,2,67585589944,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
73,3,67670033510,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
74,4,67565548686,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
75,5,67603130196,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
76,6,67541280852,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
77,7,67635223758,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
78,8,67613589848,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
79,9,67557531220,1,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
80,0,6796965370612,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
81,1,6796676134498,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
82,2,6794478481936,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
83,3,6795873728908,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
84,4,6788282351814,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
85,5,6771979071222,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
86,6,6769114859548,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
87,7,6769384709146,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
88,8,6760699308100,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
89,9,6761711768088,1,naive,10000,107,1.3,1.4,2,3,4,1,2.0
90,0,5404460,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
91,1,5251926,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
92,2,5288296,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
93,3,5394578,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
94,4,5229704,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
95,5,5224480,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
96,6,5221922,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
97,7,5252362,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
98,8,5236768,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
99,9,5260086,1,reed-solomon,10,10,1.3,1.4,10,3,100,1,2.0
100,0,3882871365054,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
101,1,3891484792820,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
102,2,3890421057442,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
103,3,3891161312214,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
104,4,3894371296640,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
105,5,3901200910074,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
106,6,3894995564542,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
107,7,3888517765734,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
108,8,3889556570848,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
109,9,3886312405630,1,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
110,0,141688033410,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
111,1,141508885846,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
112,2,141646935986,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
113,3,141446057810,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
114,4,141434822970,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
115,5,141398908720,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
116,6,141361449028,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
117,7,141596689632,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
118,8,141474263840,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
119,9,141479120784,1,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
120,0,43265976528,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
121,1,43286475368,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
122,2,43347817082,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
123,3,43921820004,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
124,4,43333750596,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
125,5,43359643104,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
126,6,43282407514,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
127,7,43327094992,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
128,8,43467322622,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
129,9,43552770936,1,random binning,10000,107,1.3,1.4,2,3,4,1,2.0
130,0,27927464,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
131,1,28932148,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
132,2,29943290,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
133,3,28815856,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
134,4,28507932,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
135,5,28146764,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
136,6,30295678,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
137,7,30169922,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
138,8,29745446,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
139,9,28915488,1,naive,10,203,1.3,1.4,10,3,100,1,2.0
140,0,542462526,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
141,1,545965126,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
142,2,541235294,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
143,3,541308166,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
144,4,558686780,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
145,5,549484796,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
146,6,547604292,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
147,7,548131844,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
148,8,540993180,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
149,9,547858924,1,reed-solomon,2508,10,1.3,1.4,2,3,4,1,2.0
150,0,354692501672,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
151,1,353987671048,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
152,2,354018046558,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
153,3,353702792074,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
154,4,354028187748,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
155,5,354790347174,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
156,6,354067976724,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
157,7,354163104258,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
158,8,355351404906,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
159,9,354016798094,0,random binning,2508,300,1.3,1.4,10,3,100,1,2.0
160,0,292731746314,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
161,1,292619507314,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
162,2,292783243038,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
163,3,292399706476,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
164,4,293835122410,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
165,5,293735021456,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
166,6,292561337962,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
167,7,293396564496,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
168,8,292582578064,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
169,9,293003658498,1,reed-solomon,5005,300,1.3,1.4,10,3,100,1,2.0
170,0,22024240716,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
171,1,22022120708,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
172,2,22028217528,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
173,3,22039919684,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
174,4,22017958420,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
175,5,22023358212,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
176,6,22029060458,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
177,7,22036963420,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
178,8,22010293054,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
179,9,21993961118,1,random binning,5005,203,1.3,1.4,1,3,1,1,2.0
180,0,3986964595788,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
181,1,3988214252266,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
182,2,3987951179380,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
183,3,3985682959968,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
184,4,3985285237544,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
185,5,3985435584370,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
186,6,3988032896166,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
187,7,3984727623628,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
188,8,3981165614020,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
189,9,3986648750594,1,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
190,0,935642714,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
191,1,934020262,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
192,2,934018978,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
193,3,935556926,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
194,4,938462832,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
195,5,934010916,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
196,6,938294318,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
197,7,935825938,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
198,8,935049592,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
199,9,934676554,0,random binning,5005,10,1.3,1.4,2,3,4,1,2.0
200,0,13966192990,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
201,1,13916279378,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
202,2,13999958758,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
203,3,13898554608,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
204,4,13909506578,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
205,5,13889058770,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
206,6,13946112110,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
207,7,13918960622,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
208,8,13913918738,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
209,9,13973503432,1,reed-solomon,2508,300,1.3,1.4,1,3,1,1,2.0
210,0,45524438,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
211,1,46800478,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
212,2,46656660,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
213,3,45785614,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
214,4,46228100,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
215,5,46480114,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
216,6,46495842,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
217,7,46639440,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
218,8,47063440,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
219,9,48020364,0,random binning,10,300,1.3,1.4,5,3,25,1,2.0
220,0,2795319400,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
221,1,2792282000,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
222,2,2780375506,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
223,3,2778393022,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
224,4,2795728666,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
225,5,2795110248,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
226,6,2784282646,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
227,7,2779532338,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
228,8,2782692984,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
229,9,2781643256,1,reed-solomon,2508,10,1.3,1.4,10,3,100,1,2.0
230,0,129523056218,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
231,1,129041240554,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
232,2,128950835512,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
233,3,128833416502,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
234,4,128988048864,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
235,5,129158230594,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
236,6,129016132500,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
237,7,129026101504,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
238,8,129020347454,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
239,9,129030684828,1,reed-solomon,2508,300,1.3,1.4,10,3,100,1,2.0
