,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,1056724697394,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,1,1046943312836,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,2,1063430802698,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,3,1046321636028,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,4,1066056559836,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,5,1051582290478,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,6,1054157919850,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,7,1059124188020,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,8,1051616657192,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,9,1052533862894,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,0,97167811342,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
11,1,97143812036,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
12,2,97452563936,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
13,3,98462691210,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
14,4,97452528066,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
15,5,97640466536,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
16,6,97421169878,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
17,7,97127418430,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
18,8,97246086100,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
19,9,96999056814,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
20,0,62598267650,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
21,1,61730649832,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
22,2,61364378324,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
23,3,61499765234,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
24,4,60943171248,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
25,5,61503115204,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
26,6,62380339588,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
27,7,62379333156,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
28,8,60711558750,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
29,9,63557698502,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
30,0,282961439606,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
31,1,285995441602,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
32,2,286009994204,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
33,3,285823112314,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
34,4,286663436152,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
35,5,286317986662,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
36,6,286183841922,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
37,7,286110399720,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
38,8,286283478460,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
39,9,286465068938,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
40,0,730053994892,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
41,1,715783726598,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
42,2,711790633286,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
43,3,713876337968,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
44,4,712386842324,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
45,5,712194735386,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
46,6,713068070430,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
47,7,722639345084,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
48,8,722907053774,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
49,9,721081074126,0,reed-solomon,10000,203,1.3,1.4,5,3,25,1,2.0
50,0,50607340,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
51,1,51207190,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
52,2,51755864,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
53,3,51786348,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
54,4,50538462,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
55,5,50726510,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
56,6,50307880,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
57,7,50901754,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
58,8,51852478,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
59,9,50548050,0,random binning,10,107,1.3,1.4,10,3,100,1,2.0
60,0,4124717232160,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
61,1,4126863976442,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
62,2,4119800950544,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
63,3,4116475846008,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
64,4,4116795358770,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
65,5,4110143094702,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
66,6,4112866465654,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
67,7,4110125194746,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
68,8,4123430004528,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
69,9,4126535841678,0,naive,2508,300,1.3,1.4,5,3,25,1,2.0
70,0,320890946708,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
71,1,321533163406,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
72,2,321264190490,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
73,3,321240761124,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
74,4,322243246788,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
75,5,321588844688,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
76,6,321866685596,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
77,7,321860474390,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
78,8,321344867540,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
79,9,321017232934,0,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
