,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,6034529877132,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
1,1,6028813435234,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
2,2,6027308075222,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
3,3,6027018823692,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
4,4,6032417900186,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
5,5,6027760691518,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
6,6,6034266910970,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
7,7,6030598198356,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
8,0,9464017912258,1,naive,7502,203,1.3,1.4,1,3,1,1,2.0
9,1,8941183738188,1,naive,7502,203,1.3,1.4,1,3,1,1,2.0
10,2,8871243793176,1,naive,7502,203,1.3,1.4,1,3,1,1,2.0
11,3,8906948055154,1,naive,7502,203,1.3,1.4,1,3,1,1,2.0
12,0,8830094993674,1,naive,7502,203,1.3,1.4,5,3,25,1,2.0
13,1,8835529804696,1,naive,7502,203,1.3,1.4,5,3,25,1,2.0
14,2,8835311344710,1,naive,7502,203,1.3,1.4,5,3,25,1,2.0
15,3,8832056348738,1,naive,7502,203,1.3,1.4,5,3,25,1,2.0
16,0,5526092436042,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
17,1,5526228083292,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
18,2,5523938817798,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
19,3,5527121709342,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
20,4,5524814322026,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
21,5,5520834602358,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
22,6,5525927770348,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
23,7,5521873279956,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
24,8,5533726911040,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
25,0,31915064622350,1,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
26,0,8938329019084,1,naive,7502,203,1.3,1.4,2,3,4,1,2.0
27,1,8854493336596,1,naive,7502,203,1.3,1.4,2,3,4,1,2.0
28,2,8850488767968,1,naive,7502,203,1.3,1.4,2,3,4,1,2.0
29,3,8856708654022,1,naive,7502,203,1.3,1.4,2,3,4,1,2.0
30,0,9767801475434,1,naive,7502,203,1.3,1.4,10,3,100,1,2.0
31,1,9770153364216,1,naive,7502,203,1.3,1.4,10,3,100,1,2.0
32,2,9764962667548,1,naive,7502,203,1.3,1.4,10,3,100,1,2.0
33,0,10380018019054,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
34,1,10378595392226,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
35,2,10381966960628,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
36,3,10379765499106,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
37,4,10392358160168,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
38,0,5493953322996,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
39,1,5485735059384,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
40,2,5487054275812,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
41,3,5485022168942,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
42,4,5487244716246,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
43,5,5494661171330,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
44,6,5490946377076,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
45,7,5489833203620,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
46,8,5487238264454,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
47,0,6873017094896,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
48,1,7231871628392,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
49,2,7236162252268,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
50,3,7238022822156,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
51,4,7238802336326,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
52,5,7136649651014,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
53,6,6800118080346,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
54,7,6801084306326,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
55,8,6797640628138,1,naive,10000,107,1.3,1.4,1,3,1,1,2.0
56,0,5476576913154,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
57,1,5471893763206,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
58,2,5475938343002,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
59,3,5470958444996,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
60,4,5469506350966,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
61,5,5469929670628,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
62,6,5470209190208,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
63,7,5472289156400,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
64,8,5476166885920,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
65,0,5501388881094,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
66,1,5501442451630,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
67,2,5502516303548,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
68,3,5499962280948,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
69,4,5500233357736,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
70,5,5496075428072,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
71,6,5499108374774,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
72,7,5500482785944,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
73,8,5497914073392,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
74,0,8966210375432,1,random binning,7502,203,1.3,1.4,7502,3,56280004,1,2.0
75,1,8970448854088,1,random binning,7502,203,1.3,1.4,7502,3,56280004,1,2.0
76,2,8976041882298,1,random binning,7502,203,1.3,1.4,7502,3,56280004,1,2.0
77,3,8972330230132,1,random binning,7502,203,1.3,1.4,7502,3,56280004,1,2.0
78,0,8851487348976,1,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
79,1,8837630397400,1,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
80,2,8831871693684,1,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
81,3,8831317345578,1,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
82,0,5864301622514,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
83,1,5841204432024,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
84,2,5775802213932,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
85,3,5509791271174,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
86,4,5508936175964,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
87,5,5550039886438,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
88,6,5500208210736,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
89,7,5533964437602,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
90,0,13843667537820,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
91,1,13836536018982,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
92,2,13865947250172,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
93,3,13937962279546,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
94,4,13993055077096,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
