,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,9872042373254,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
1,1,10091758269168,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
2,2,10023845151118,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
3,3,9976281009828,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
4,4,10003096697802,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
5,5,10141332152938,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
6,6,9990350777958,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
7,7,10071274422228,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
8,0,12517544319328,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
9,1,12310616869264,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
10,2,12007611568486,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
11,0,12160751597364,0,naive,5005,203,1.3,1.4,2,3,4,1,2.0
12,0,11843947219076,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
13,1,11846105526262,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
14,2,11828069746478,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
15,3,11833122097640,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
16,0,12428489731298,0,naive,5005,203,1.3,1.4,5,3,25,1,2.0
17,0,5540509087426,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
18,1,5524788701198,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
19,2,5525856116592,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
20,3,5523263432058,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
21,4,5531889548778,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
22,5,5525694189684,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
23,6,5525115445326,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
24,7,5528962813736,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
25,8,5544379383490,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
26,0,13123715313914,0,naive,7502,107,1.3,1.4,7502,3,56280004,1,2.0
27,1,13177681131822,0,naive,7502,107,1.3,1.4,7502,3,56280004,1,2.0
28,2,13257806050626,0,naive,7502,107,1.3,1.4,7502,3,56280004,1,2.0
29,0,11800613584020,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
30,1,11810349127692,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
31,2,11820274104090,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
32,3,11791116376734,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
33,0,11914649827470,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
34,1,11865479097200,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
35,2,11862087929222,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
36,3,11863832715552,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
37,0,12297118058872,0,naive,5005,203,1.3,1.4,10,3,100,1,2.0
38,0,13312627923232,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
39,0,12114911766600,0,naive,5005,203,1.3,1.4,1,3,1,1,2.0
40,0,24508139853122,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
41,1,24416873994336,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
42,0,13522095659254,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
43,1,13465272895160,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
44,2,13491397335296,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
45,0,13541096583596,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
