,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,32091401575906,0,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,0,8822478477310,1,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
2,1,8822194510072,1,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
3,2,8824171048892,1,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
4,3,8813387139798,1,naive,7502,203,1.3,1.4,7502,3,56280004,1,2.0
5,0,6152617893204,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
6,1,6155762360424,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
7,2,6156654559098,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
8,3,6160161943898,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
9,4,6158074687098,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
10,5,6155823953404,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
11,6,6156660169176,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
12,7,6156713299214,0,random binning,5005,300,1.3,1.4,5005,3,25050025,1,2.0
13,0,5499088213790,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
14,1,5498179138200,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
15,2,5500656228054,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
16,3,5498865495444,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
17,4,5506153890736,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
18,5,5507161461234,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
19,6,5507970138628,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
20,7,5500332149834,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
21,8,5504397819866,1,naive,5005,300,1.3,1.4,10,3,100,1,2.0
22,0,13768413823362,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
23,1,13775508845790,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
24,2,13768536497060,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
25,3,13767668742390,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
26,4,13764979021842,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
27,5,13779592651488,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
28,0,5509233872264,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
29,1,5503582076012,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
30,2,5511306573764,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
31,3,5499572797214,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
32,4,5504649196140,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
33,5,5501596903688,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
34,6,5501630201680,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
35,7,5502241729204,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
36,8,5508629060744,1,naive,5005,300,1.3,1.4,1,3,1,1,2.0
37,0,8814921278736,1,naive,7502,203,1.3,1.4,1,3,1,1,2.0
38,1,8815894274970,1,naive,7502,203,1.3,1.4,1,3,1,1,2.0
39,2,8815255024648,1,naive,7502,203,1.3,1.4,1,3,1,1,2.0
40,3,8819279347600,1,naive,7502,203,1.3,1.4,1,3,1,1,2.0
41,0,5462416923818,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
42,1,5462151167228,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
43,2,5462167416268,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
44,3,5462045407012,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
45,4,5460230567386,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
46,5,5463986584016,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
47,6,5464511036780,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
48,7,5462779099836,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
49,8,5460361513626,1,naive,5005,300,1.3,1.4,5,3,25,1,2.0
50,0,5496250271754,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
51,1,5498967218554,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
52,2,5501121052370,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
53,3,5501614976648,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
54,4,5503046945306,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
55,5,5491389799774,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
56,6,5493097884580,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
57,7,5492786408562,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
58,8,5497266977614,1,naive,5005,300,1.3,1.4,5005,3,25050025,1,2.0
59,0,5475865615430,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
60,1,5478929353186,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
61,2,5474260990916,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
62,3,5480525011704,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
63,4,5474733738862,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
64,5,5473807473932,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
65,6,5477585484190,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
66,7,5474894709890,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
67,8,5477211019120,1,naive,5005,300,1.3,1.4,2,3,4,1,2.0
68,0,8823426865716,1,naive,7502,203,1.3,1.4,10,3,100,1,2.0
69,1,8821087736180,1,naive,7502,203,1.3,1.4,10,3,100,1,2.0
70,2,8824184526830,1,naive,7502,203,1.3,1.4,10,3,100,1,2.0
71,3,8820663576922,1,naive,7502,203,1.3,1.4,10,3,100,1,2.0
72,0,8871226188936,1,naive,7502,203,1.3,1.4,2,3,4,1,2.0
73,1,8868583117538,1,naive,7502,203,1.3,1.4,2,3,4,1,2.0
74,2,8866584999602,1,naive,7502,203,1.3,1.4,2,3,4,1,2.0
75,3,8863999574616,1,naive,7502,203,1.3,1.4,2,3,4,1,2.0
76,0,8816762107466,1,naive,7502,203,1.3,1.4,5,3,25,1,2.0
77,1,8816279861252,1,naive,7502,203,1.3,1.4,5,3,25,1,2.0
78,2,8808849164308,1,naive,7502,203,1.3,1.4,5,3,25,1,2.0
79,3,8809640218720,1,naive,7502,203,1.3,1.4,5,3,25,1,2.0
80,0,10414499388112,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
81,1,10402905742252,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
82,2,10414000117402,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
83,3,10420808657174,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
84,4,10421779849948,1,reed-solomon,2508,107,1.3,1.4,2508,3,6290064,1,2.0
85,0,8987401515880,1,random binning,7502,203,1.3,1.4,7502,3,56280004,1,2.0
86,1,9004608804308,1,random binning,7502,203,1.3,1.4,7502,3,56280004,1,2.0
87,2,9006009377176,1,random binning,7502,203,1.3,1.4,7502,3,56280004,1,2.0
88,3,9007045079142,1,random binning,7502,203,1.3,1.4,7502,3,56280004,1,2.0
