,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,11776697285054,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
1,1,11803789956764,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
2,2,11798225128748,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
3,3,11788339250702,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
4,0,11781404667718,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
5,1,11815843657818,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
6,2,11793156197528,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
7,3,11790487959172,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
8,0,13428173827204,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
9,0,12092449863278,0,naive,5005,203,1.3,1.4,5,3,25,1,2.0
10,0,12185440039820,0,naive,5005,203,1.3,1.4,2,3,4,1,2.0
11,0,13234879230968,0,naive,7502,107,1.3,1.4,7502,3,56280004,1,2.0
12,1,13147543230426,0,naive,7502,107,1.3,1.4,7502,3,56280004,1,2.0
13,2,13146291757512,0,naive,7502,107,1.3,1.4,7502,3,56280004,1,2.0
14,0,24175812132414,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
15,1,24474223164560,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
16,0,12101419527284,0,naive,5005,203,1.3,1.4,1,3,1,1,2.0
17,0,11862449725328,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
18,1,11854025070054,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
19,2,11840638622358,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
20,3,11855739416508,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
21,0,5521493003172,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
22,1,5527729574374,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
23,2,5528710965508,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
24,3,5524617669108,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
25,4,5521412937908,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
26,5,5519929151466,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
27,6,5515536090448,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
28,7,5524009011458,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
29,8,5530533803332,0,random binning,10000,300,1.3,1.4,10,3,100,1,2.0
30,0,11865487216324,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
31,1,11833804863934,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
32,2,11877085693124,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
33,3,11878230221124,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
34,0,13441540472846,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
35,0,12211899341804,0,naive,5005,203,1.3,1.4,10,3,100,1,2.0
36,0,9461330226258,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
37,1,9440213046356,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
38,2,9517521562426,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
39,3,9542359996542,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
40,4,9561280000200,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
41,5,9506163486298,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
42,6,9499830874526,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
43,7,9385317051834,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
44,8,9414160271980,0,reed-solomon,5005,10,1.3,1.4,5005,3,25050025,1,2.0
45,0,13211249066552,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
46,1,13405034613424,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
47,2,13256987203224,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
