,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,47437422894,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
1,1,47414029480,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
2,2,47411551964,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
3,3,47380043092,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
4,4,47147936006,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
5,5,47378507640,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
6,6,47606051676,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
7,7,47396839354,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
8,8,47689520068,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
9,9,47401780904,0,random binning,5005,300,1.3,1.4,1,3,1,1,2.0
10,0,900225706,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
11,1,913770576,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
12,2,911669232,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
13,3,910149072,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
14,4,915756092,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
15,5,952048522,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
16,6,1066704422,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
17,7,1071345260,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
18,8,932887070,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
19,9,901366248,0,naive,10,300,1.3,1.4,5,3,25,1,2.0
20,0,693674002742,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
21,1,694681816394,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
22,2,691847456130,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
23,3,692576974120,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
24,4,691382419906,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
25,5,691669578538,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
26,6,691553033644,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
27,7,691528454748,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
28,8,689904041552,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
29,9,689992480664,0,naive,5005,10,1.3,1.4,5,3,25,1,2.0
30,0,40416180,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
31,1,37213568,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
32,2,39441584,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
33,3,38276370,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
34,4,38710600,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
35,5,38230304,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
36,6,39621962,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
37,7,39383330,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
38,8,38576706,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
39,9,38155126,0,random binning,10,10,1.3,1.4,5,3,25,1,2.0
40,0,800658698,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
41,1,796969500,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
42,2,800587988,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
43,3,795237310,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
44,4,797891694,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
45,5,793927730,0,random binning,10,203,1.3,1.4,5,3,25,1,2.0
