,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,391439092232,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
1,1,389015640306,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
2,2,388849262242,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
3,3,388047888858,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
4,4,388876732412,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
5,5,389139428646,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
6,6,388359796122,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
7,7,388467279134,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
8,8,389255243882,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
9,9,388870536478,0,naive,2508,10,1.3,1.4,5,3,25,1,2.0
10,0,1813588577632,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
11,1,1811518879490,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
12,2,1812279060160,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
13,3,1820340680790,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
14,4,1815650468946,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
15,5,1816615708386,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
16,6,1817067311640,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
17,7,1817559200730,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
18,8,1813998052828,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
19,9,1815549232088,0,reed-solomon,7502,107,1.3,1.4,10,3,100,1,2.0
20,0,444563757598,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
21,1,442272792596,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
22,2,444019178026,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
23,3,441642823920,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
24,4,442241921410,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
25,5,442838080774,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
26,6,442108613718,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
27,7,442402103384,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
28,8,443401565244,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
29,9,442840965256,0,reed-solomon,10000,300,1.3,1.4,1,3,1,1,2.0
30,0,1799121840986,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
31,1,1793187953390,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
32,2,1793313759920,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
33,3,1795631455366,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
34,4,1793075867542,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
35,5,1796434791256,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
36,6,1794383389066,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
37,7,1797887884642,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
38,8,1792113272052,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
39,9,1795144292334,0,reed-solomon,5005,203,1.3,1.4,10,3,100,1,2.0
40,0,1780902862764,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
41,1,1783783830746,0,random binning,5005,300,1.3,1.4,5,3,25,1,2.0
