,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,35811371010648,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
1,0,9331131078132,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
2,1,9318094672252,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
3,2,9318825452590,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
4,3,9320227532612,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
5,4,9321718693592,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
6,5,9321492373592,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
7,6,9306453571986,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
8,7,9356429414678,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
9,0,16904599178792,0,naive,5005,203,1.3,1.4,2,3,4,1,2.0
10,1,16926841043808,0,naive,5005,203,1.3,1.4,2,3,4,1,2.0
11,2,16942775573076,0,naive,5005,203,1.3,1.4,2,3,4,1,2.0
12,0,27023031947742,0,naive,5005,300,1.3,1.4,10,3,100,1,2.0
13,0,10989172031040,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
14,1,10994064616004,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
15,2,10996472648638,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
16,3,11001869049512,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
17,4,11019043647658,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
18,5,11010057239834,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
19,6,11029923923550,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
20,0,23805370325184,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
21,1,23811633961528,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
22,0,19230512448264,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
23,1,19110193105136,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
24,2,19123021749112,0,naive,7502,107,1.3,1.4,2,3,4,1,2.0
25,0,17950736502344,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
26,1,17782747143688,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
27,2,17779641295264,0,naive,7502,107,1.3,1.4,10,3,100,1,2.0
28,0,23668520054964,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
29,1,23645848732118,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
30,0,35519028006572,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
31,0,16989019486186,0,naive,5005,203,1.3,1.4,5,3,25,1,2.0
32,1,17025633812268,0,naive,5005,203,1.3,1.4,5,3,25,1,2.0
33,2,17016213112048,0,naive,5005,203,1.3,1.4,5,3,25,1,2.0
34,0,8480125551698,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
35,1,8484167031040,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
36,2,8483080046154,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
37,3,8481803234248,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
38,4,8477378867070,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
39,5,8485681619904,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
40,6,8491499996190,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
41,7,8484280809292,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
42,8,8479149081096,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
43,0,31497513973840,0,naive,10000,107,1.3,1.4,1,3,1,1,2.0
44,0,19988435251358,0,naive,5005,300,1.3,1.4,1,3,1,1,2.0
45,0,19070677264132,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
46,1,19038114228498,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
47,2,18998981565830,0,naive,7502,107,1.3,1.4,1,3,1,1,2.0
48,0,17637642520408,0,naive,5005,203,1.3,1.4,10,3,100,1,2.0
49,1,17659345757720,0,naive,5005,203,1.3,1.4,10,3,100,1,2.0
50,2,17647921963550,0,naive,5005,203,1.3,1.4,10,3,100,1,2.0
51,0,10167452991950,0,naive,5005,107,1.3,1.4,10,3,100,1,2.0
52,1,10128842361878,0,naive,5005,107,1.3,1.4,10,3,100,1,2.0
53,2,10132316027322,0,naive,5005,107,1.3,1.4,10,3,100,1,2.0
54,3,10125930034074,0,naive,5005,107,1.3,1.4,10,3,100,1,2.0
55,4,10138400211216,0,naive,5005,107,1.3,1.4,10,3,100,1,2.0
56,5,10127421988822,0,naive,5005,107,1.3,1.4,10,3,100,1,2.0
57,6,10143457428148,0,naive,5005,107,1.3,1.4,10,3,100,1,2.0
58,7,10139362618884,0,naive,5005,107,1.3,1.4,10,3,100,1,2.0
59,0,22502364163578,0,naive,5005,300,1.3,1.4,5,3,25,1,2.0
60,0,20813897646976,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
61,1,20778949738544,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
62,2,20769912382778,0,naive,7502,107,1.3,1.4,5,3,25,1,2.0
63,0,14872063185258,0,naive,5005,203,1.3,1.4,1,3,1,1,2.0
64,1,14848142589574,0,naive,5005,203,1.3,1.4,1,3,1,1,2.0
65,2,14836910654640,0,naive,5005,203,1.3,1.4,1,3,1,1,2.0
66,3,14843112178008,0,naive,5005,203,1.3,1.4,1,3,1,1,2.0
67,0,26511951444310,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
68,1,26490229695474,0,random binning,7502,107,1.3,1.4,7502,3,56280004,1,2.0
69,0,25773212610620,0,reed-solomon,2508,10,1.3,1.4,2508,3,6290064,1,2.0
70,1,25783829516954,0,reed-solomon,2508,10,1.3,1.4,2508,3,6290064,1,2.0
