,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,15051569741536,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
1,1,14989824675926,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
2,2,14990507557846,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
3,3,15219781887022,0,random binning,5005,107,1.3,1.4,5005,3,25050025,1,2.0
4,0,10232088979420,0,naive,2508,300,1.3,1.4,2,3,4,1,2.0
5,1,10195377999330,0,naive,2508,300,1.3,1.4,2,3,4,1,2.0
6,2,10195954513242,0,naive,2508,300,1.3,1.4,2,3,4,1,2.0
7,3,10214778738336,0,naive,2508,300,1.3,1.4,2,3,4,1,2.0
8,4,10226630404550,0,naive,2508,300,1.3,1.4,2,3,4,1,2.0
9,0,10284475283704,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
10,1,10280818700164,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
11,2,10296859888530,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
12,3,10393355400214,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
13,4,10537171490370,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
14,0,15039454232032,0,naive,5005,107,1.3,1.4,5005,3,25050025,1,2.0
15,1,15026026255632,0,naive,5005,107,1.3,1.4,5005,3,25050025,1,2.0
16,2,15021481944882,0,naive,5005,107,1.3,1.4,5005,3,25050025,1,2.0
17,3,15042118553886,0,naive,5005,107,1.3,1.4,5005,3,25050025,1,2.0
18,0,9559167150508,0,random binning,10000,203,1.3,1.4,10,3,100,1,2.0
19,1,9553514465428,0,random binning,10000,203,1.3,1.4,10,3,100,1,2.0
20,2,9560449102340,0,random binning,10000,203,1.3,1.4,10,3,100,1,2.0
21,3,9549610693592,0,random binning,10000,203,1.3,1.4,10,3,100,1,2.0
22,4,9635185062118,0,random binning,10000,203,1.3,1.4,10,3,100,1,2.0
23,5,9764547207220,0,random binning,10000,203,1.3,1.4,10,3,100,1,2.0
24,6,9793710416228,0,random binning,10000,203,1.3,1.4,10,3,100,1,2.0
25,0,7766335377392,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
26,1,7755530202726,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
27,2,7767910765562,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
28,3,7740169194026,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
29,4,7736214682490,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
30,5,7738394339158,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
31,6,7742793035332,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
32,7,7751500347958,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
33,8,7732735139996,0,naive,2508,203,1.3,1.4,5,3,25,1,2.0
34,0,15521891652014,0,naive,5005,107,1.3,1.4,1,3,1,1,2.0
35,1,14994414926126,0,naive,5005,107,1.3,1.4,1,3,1,1,2.0
36,2,15247166710900,0,naive,5005,107,1.3,1.4,1,3,1,1,2.0
37,3,16052775886624,0,naive,5005,107,1.3,1.4,1,3,1,1,2.0
38,0,7744575674768,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
39,1,7726152351598,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
40,2,7734654529662,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
41,3,7726402676394,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
42,4,7733184512912,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
43,5,7732582926810,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
44,6,7730632216576,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
45,7,7729175917390,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
46,8,7733435539116,0,naive,2508,203,1.3,1.4,1,3,1,1,2.0
47,0,15085143208048,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
48,1,15049390362492,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
49,2,15051614999616,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
50,3,15065786971094,0,naive,5005,107,1.3,1.4,2,3,4,1,2.0
51,0,10190396047062,0,naive,2508,300,1.3,1.4,2508,3,6290064,1,2.0
52,1,10248459328084,0,naive,2508,300,1.3,1.4,2508,3,6290064,1,2.0
53,2,10218078143054,0,naive,2508,300,1.3,1.4,2508,3,6290064,1,2.0
54,3,10219401231176,0,naive,2508,300,1.3,1.4,2508,3,6290064,1,2.0
55,4,10188947378784,0,naive,2508,300,1.3,1.4,2508,3,6290064,1,2.0
56,0,16121039450932,0,naive,5005,107,1.3,1.4,5,3,25,1,2.0
57,1,16092018485394,0,naive,5005,107,1.3,1.4,5,3,25,1,2.0
58,2,16114733227966,0,naive,5005,107,1.3,1.4,5,3,25,1,2.0
59,3,16124347075268,0,naive,5005,107,1.3,1.4,5,3,25,1,2.0
60,0,7691778855856,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
61,1,7698120819824,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
62,2,7714891598090,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
63,3,7701402923218,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
64,4,7689545905988,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
65,5,7703495256538,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
66,6,7686133085332,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
67,7,7693849684512,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
68,8,7693497258536,0,random binning,2508,203,1.3,1.4,2508,3,6290064,1,2.0
69,0,7783711152656,0,naive,2508,203,1.3,1.4,2508,3,6290064,1,2.0
