,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,436978,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
1,0,2007940,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
2,0,592968,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
3,0,105981712,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
4,0,4898006,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
5,0,7376772,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
6,0,15354872,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
7,0,314014006,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
8,1,317468,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
9,1,2024410,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
10,1,577836,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
11,1,105495520,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
12,1,4879186,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
13,1,7364290,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
14,1,15245146,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
15,1,315081474,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
16,2,313892,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
17,2,2006012,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
18,2,579196,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
19,2,105309674,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
20,2,4900468,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
21,2,7372004,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
22,2,15256090,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
23,2,314537894,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
24,3,313748,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
25,3,2019742,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
26,3,595500,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
27,3,106141498,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
28,3,4858526,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
29,3,7499474,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
30,3,15243322,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
31,3,315882244,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
32,4,321202,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
33,4,2078726,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
34,4,583750,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
35,4,106092260,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
36,4,4897338,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
37,4,7483630,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
38,4,15237258,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
39,4,315093394,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
40,5,323548,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
41,5,2004624,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
42,5,589490,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
43,5,106189160,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
44,5,4861876,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
45,5,7409330,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
46,5,15472632,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
47,5,314164292,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
48,6,313632,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
49,6,2016080,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
50,6,578876,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
51,6,105539928,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
52,6,4881368,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
53,6,7376152,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
54,6,15230336,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
55,6,316211778,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
56,7,314646,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
57,7,2019390,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
58,7,576978,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
59,7,105467246,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
60,7,4923876,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
61,7,7349412,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
62,7,15256278,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
63,7,318757230,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
64,8,413590,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
65,8,2117218,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
66,8,645624,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
67,8,105574330,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
68,8,4900880,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
69,8,7392420,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
70,8,15530344,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
71,8,316602280,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
72,9,313546,updates,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
73,9,2016470,detection,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
74,9,570932,transform,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
75,9,105495742,query,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
76,9,4851520,time_index,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
77,9,7351266,current_hash,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
78,9,15226674,hasher,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
79,9,315095372,init,1620,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
80,0,19555924,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
81,0,876694356,detection,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
82,0,159590922,transform,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
83,0,17632627986,query,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
84,0,1082726018,time_index,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
85,0,1160366078,current_hash,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
86,0,948554106,hasher,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
87,0,1871370832,init,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
88,1,19444168,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
89,1,876899486,detection,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
90,1,158616756,transform,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
91,1,17568013832,query,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
92,1,1082401924,time_index,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
93,1,1157892404,current_hash,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
94,1,950327682,hasher,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
95,1,1913259340,init,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
96,2,19911876,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
97,2,858509138,detection,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
98,2,159705570,transform,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
99,2,17802841642,query,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
100,2,1087526376,time_index,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
101,2,1156146930,current_hash,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
102,2,975327690,hasher,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
103,2,1960445968,init,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
104,3,19337730,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
105,3,873466932,detection,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
106,3,158605606,transform,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
107,3,17649279598,query,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
108,3,1091924616,time_index,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
109,3,1167113622,current_hash,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
110,3,952011942,hasher,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
111,3,1928274800,init,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
112,4,19970076,updates,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
113,4,866770920,detection,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
114,4,160296430,transform,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
115,4,17988960428,query,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
116,4,1100453588,time_index,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
117,4,1165790586,current_hash,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
118,4,972749138,hasher,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
119,4,1920884884,init,267764,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
