,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,1245758,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,0,75590038,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,84535449768,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,0,704945756,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,0,232140879646,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,0,11922485602,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,0,8575170,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,0,12896250,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,0,31421662,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,0,115289280,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,1,1247052,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
11,1,74619084,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
12,1,75032283060,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
13,1,685016422,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
14,1,232894102094,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
15,1,12063129552,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
16,1,8641258,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
17,1,12172838,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
18,1,31933502,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
19,1,115015350,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
20,2,992690,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
21,2,72702346,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
22,2,73691337472,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
23,2,715193000,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
24,2,232887751292,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
25,2,12044003012,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
26,2,8722952,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
27,2,12061226,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
28,2,31739884,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
29,2,115970340,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
30,3,1265154,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
31,3,75397420,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
32,3,83423558952,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
33,3,678570888,transform,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
34,3,233109493254,query,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
35,3,11943249366,time_index,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
36,3,8806260,robust_init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
37,3,12227260,current_hash,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
38,3,31446166,hasher,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
39,3,114305474,init,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
40,4,1187558,updates,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
41,4,73262000,robust_retrieval,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
42,4,87295126916,detection,1800180,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
