,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,359436,updates,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,0,262620061166,detection,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,14427292566,transform,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,0,2168998709780,query,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,0,110015828168,time_index,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,0,242767460,current_hash,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,0,189728336,hasher,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,0,22593754752582,init,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,1,361298,updates,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,1,262618220408,detection,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,1,14216952438,transform,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
11,1,2167998820080,query,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
12,1,111364040042,time_index,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
13,1,245811268,current_hash,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
14,1,191010752,hasher,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
15,1,22588914636012,init,16800060,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
16,0,13924626,updates,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
17,0,6154392332,detection,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
18,0,10653148842,transform,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
19,0,1979833001988,query,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
20,0,128439183224,time_index,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
21,0,1534967270,current_hash,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
22,0,1523516034,hasher,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
23,0,386844980,init,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
24,1,13589688,updates,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
25,1,6027640608,detection,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
26,1,10643069074,transform,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
27,1,1983076842084,query,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
28,1,128212160366,time_index,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
29,1,1534762170,current_hash,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
30,1,1528039494,hasher,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
31,1,118937064,init,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
32,2,13553174,updates,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
33,2,6077374086,detection,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
34,2,10687728840,transform,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
35,2,1981959667934,query,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
36,2,128491510612,time_index,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
37,2,1534206184,current_hash,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
38,2,1527860034,hasher,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
39,2,130194174,init,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
40,3,13766066,updates,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
41,3,6047946350,detection,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
42,3,10650073998,transform,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
43,3,1981088142404,query,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
44,3,128106027464,time_index,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
45,3,1535991242,current_hash,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
46,3,1528891714,hasher,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
47,3,118646734,init,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
48,4,13598680,updates,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
49,4,6157221182,detection,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
50,4,10602413078,transform,15321532,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
