,run,time,section,samples,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,79545406,updates,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
1,0,885964854,robust_retrieval,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
2,0,910730442602,detection,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
3,0,12874223734,transform,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
4,0,2960144968734,query,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
5,0,177748335754,time_index,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
6,0,39615564,robust_init,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
7,0,519573402,current_hash,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
8,0,594743738,hasher,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
9,0,115550598,init,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
10,1,77940282,updates,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
11,1,893488100,robust_retrieval,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
12,1,877966916928,detection,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
13,1,12798052988,transform,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
14,1,2959486296942,query,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
15,1,176825990746,time_index,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
16,1,41312822,robust_init,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
17,1,503670724,current_hash,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
18,1,601100898,hasher,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
19,1,115709458,init,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
20,2,77306088,updates,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
21,2,874557690,robust_retrieval,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
22,2,873552147310,detection,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
23,2,12937492650,transform,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
24,2,2959676486748,query,22922292,naive,10000,107,1.3,1.4,2,3,4,1,2.0
