,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,480350504,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
1,1,486244254,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
2,2,480191522,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
3,3,480645208,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
4,4,482161756,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
5,5,524951028,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
6,6,526782466,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
7,7,527465704,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
8,8,525060662,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
9,9,513186094,1,reed-solomon,5005,10,1.3,1.4,1,3,1,1,2.0
10,0,26181228330,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
11,1,26165771964,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
12,2,26376472028,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
13,3,26272543794,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
14,4,26182131350,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
15,5,26134293950,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
16,6,26234237870,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
17,7,26160163418,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
18,8,26794315142,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
19,9,26505966962,1,reed-solomon,5005,300,1.3,1.4,5,3,25,1,2.0
20,0,427066298836,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
21,1,427253526360,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
22,2,427210850376,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
23,3,426980999418,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
24,4,427756562352,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
25,5,428046442532,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
26,6,426820356186,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
27,7,426699442892,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
28,8,426845555204,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
29,9,426885852360,0,random binning,2508,300,1.3,1.4,2508,3,6290064,1,2.0
30,0,30046275746,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
31,1,30074874050,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
32,2,30078089130,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
33,3,30091204016,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
34,4,30056123726,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
35,5,30062810116,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
36,6,30038069016,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
37,7,30114107206,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
38,8,30086240074,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
39,9,30074557672,1,reed-solomon,7502,203,1.3,1.4,5,3,25,1,2.0
40,0,19261815564,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
41,1,19359624232,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
42,2,19253558432,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
43,3,19543644802,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
44,4,19583318014,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
45,5,19329034150,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
46,6,19521994248,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
47,7,19261087036,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
48,8,19176385426,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
49,9,19269452656,1,reed-solomon,5005,203,1.3,1.4,5,3,25,1,2.0
