,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,360202846912,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,1,363961074648,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,2,344863045446,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
3,3,354663626370,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
4,4,357747073806,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
5,5,359257816238,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
6,6,350033758914,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
7,7,340291299870,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
8,8,356944512544,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
9,9,361216674986,0,naive,10000,10,1.3,1.4,10000,3,100000000,1,2.0
10,0,20601551752,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
11,1,20801504782,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
12,2,20540614748,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
13,3,21161052194,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
14,4,20688536806,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
15,5,20665256030,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
16,6,20572062324,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
17,7,20884750950,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
18,8,20586115010,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
19,9,21275571026,0,random binning,7502,107,1.3,1.4,2,3,4,1,2.0
20,0,21579480186,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
21,1,21858747124,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
22,2,21727069400,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
23,3,22499446326,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
24,4,21860098676,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
25,5,22285567464,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
26,6,21876618868,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
27,7,21537324162,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
28,8,21989198240,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
29,9,22098877566,0,random binning,2508,10,1.3,1.4,2508,3,6290064,1,2.0
30,0,56340185932,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
31,1,55299304644,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
32,2,55771730850,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
33,3,55863437506,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
34,4,55409695436,0,reed-solomon,10000,203,1.3,1.4,2,3,4,1,2.0
