,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,28751610234156,1,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
1,1,26485139206610,1,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
2,0,2366506547578,1,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
3,1,2369224310978,1,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
4,2,2369084900100,1,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
5,3,2369202533212,1,naive,10000,203,1.3,1.4,10000,3,100000000,1,2.0
6,0,2533766040692,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
7,1,2533683170880,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
8,2,2535624862982,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
9,3,2536518163614,1,random binning,10000,203,1.3,1.4,10000,3,100000000,1,2.0
10,0,10669384611264,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
11,1,10657994955706,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
12,2,10653595081822,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
13,3,10667796656784,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
14,4,10729031477270,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
15,5,10663983411686,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
16,6,10663135161072,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
17,7,10665527598024,1,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
18,0,2370783850810,1,naive,10000,203,1.3,1.4,2,3,4,1,2.0
19,1,2369940322046,1,naive,10000,203,1.3,1.4,2,3,4,1,2.0
20,2,2372016447896,1,naive,10000,203,1.3,1.4,2,3,4,1,2.0
21,3,2374800534178,1,naive,10000,203,1.3,1.4,2,3,4,1,2.0
22,0,2356863328342,1,naive,10000,203,1.3,1.4,5,3,25,1,2.0
23,1,2355699223414,1,naive,10000,203,1.3,1.4,5,3,25,1,2.0
24,2,2350546260572,1,naive,10000,203,1.3,1.4,5,3,25,1,2.0
25,3,2351684272582,1,naive,10000,203,1.3,1.4,5,3,25,1,2.0
26,0,2371094186848,1,naive,10000,203,1.3,1.4,10,3,100,1,2.0
27,1,2372212634664,1,naive,10000,203,1.3,1.4,10,3,100,1,2.0
28,2,2370811625556,1,naive,10000,203,1.3,1.4,10,3,100,1,2.0
29,3,2374139145478,1,naive,10000,203,1.3,1.4,10,3,100,1,2.0
30,0,2368922241324,1,naive,10000,203,1.3,1.4,1,3,1,1,2.0
31,1,2359661207868,1,naive,10000,203,1.3,1.4,1,3,1,1,2.0
32,2,2365957365804,1,naive,10000,203,1.3,1.4,1,3,1,1,2.0
33,3,2362585114568,1,naive,10000,203,1.3,1.4,1,3,1,1,2.0
34,0,1777228358258,1,naive,7502,300,1.3,1.4,1,3,1,1,2.0
