,run,time,error,algorithm,n,K,C,ratio,degree,robust_iters,cs_bins,cs_iters,cs_ratio
0,0,4188829899650,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
1,1,4221749341814,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
2,2,4186621697534,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
3,3,4141398380830,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
4,4,4199019215894,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
5,5,4153262541740,0,naive,10000,107,1.3,1.4,2,3,4,1,2.0
6,0,6924562612996,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
7,1,6768680656438,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
8,2,6777870871550,0,random binning,10000,107,1.3,1.4,10000,3,100000000,1,2.0
9,0,4190583495870,0,naive,10000,107,1.3,1.4,1,3,1,1,2.0
10,1,4160664257564,0,naive,10000,107,1.3,1.4,1,3,1,1,2.0
11,2,4138164011928,0,naive,10000,107,1.3,1.4,1,3,1,1,2.0
12,3,4167178894198,0,naive,10000,107,1.3,1.4,1,3,1,1,2.0
13,4,4160096581512,0,naive,10000,107,1.3,1.4,1,3,1,1,2.0
14,5,4165939880550,0,naive,10000,107,1.3,1.4,1,3,1,1,2.0
15,0,3509400746824,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
16,1,3503852371922,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
17,2,3548186953130,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
18,3,3514161461474,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
19,4,3548332568806,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
20,5,3557271411248,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
21,6,3482866471562,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
22,7,3508753551152,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
23,8,3473116299808,0,naive,5005,203,1.3,1.4,5005,3,25050025,1,2.0
24,0,34631988275732,0,reed-solomon,10000,10,1.3,1.4,10000,3,100000000,1,2.0
25,0,6392900982770,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
26,1,6532393879442,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
27,2,6531188363104,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
28,3,6877651353044,0,naive,10000,107,1.3,1.4,10000,3,100000000,1,2.0
29,0,4179404902364,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
30,1,4205051801390,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
31,2,4190638496732,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
32,3,4195567816592,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
33,4,4176277694682,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
34,5,4187593176610,0,naive,10000,107,1.3,1.4,5,3,25,1,2.0
35,0,15142232318044,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
36,1,14944684790508,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
37,2,14746687548246,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
38,3,14899146141084,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
39,4,14919035153946,0,reed-solomon,7502,10,1.3,1.4,7502,3,56280004,1,2.0
40,0,4177285619788,0,naive,10000,107,1.3,1.4,10,3,100,1,2.0
41,1,4188394493436,0,naive,10000,107,1.3,1.4,10,3,100,1,2.0
42,2,4177796714206,0,naive,10000,107,1.3,1.4,10,3,100,1,2.0
43,3,4193635389864,0,naive,10000,107,1.3,1.4,10,3,100,1,2.0
44,4,4239112239866,0,naive,10000,107,1.3,1.4,10,3,100,1,2.0
45,5,4185762795738,0,naive,10000,107,1.3,1.4,10,3,100,1,2.0
46,0,3505684812728,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
47,1,3492814941626,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
48,2,3512630451902,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
49,3,3483423139914,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
50,4,3536134033996,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
51,5,3525485059456,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
52,6,3460331322690,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
53,7,3533191981564,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
54,8,3625137866124,0,random binning,5005,203,1.3,1.4,5005,3,25050025,1,2.0
